word,class,level,sentence,word_mean
bunch,noun,b2,Thanks a bunch.,a number of things of the same type fastened together or in a close group :
burn,noun,b2,Burn! | It burns!,"to be hurt , damaged , or destroyed by fire or extreme heat , or to cause this to happen :"
bury,verb,b1,Bury him.,to put a dead body into the ground :
bush,noun,b2,Don't beat around the bush. | In the bushes.,"a plant with many small branches growing either directly from the ground or from a hard stem , giving the plant a rounded shape :"
business,noun,a1,None of your business.,the activity of buying and selling goods and services :
businessman,noun,a2,I'm a businessman.,"a man who works in business , especially one who has a high position in a company :"
busy,adjective,a1,I'm busy.,"If you are busy, you are working hard, or giving your attention to a particular thing:"
but,preposition,b2,But why?,"used to introduce an added statement , usually something that is different from what you have said before:"
butter,noun,a1,Butter.,a pale yellow solid food containing a lot of fat that is made from cream and is spread on bread or used in cooking :
button,noun,a2,Buttons. | Push the button.,"a small , usually circular object used to fasten something, for example a shirt or coat :"
buy,verb,a1,Can I buy you a drink? | I'm the one who buys it.,to get something by paying money for it:
by,adverb,b1,Stand by.,used to show the person or thing that does something:
bye,exclamation,a1,Bye.,goodbye :
cable,noun,b2,Cable?,"a set of wires , covered by plastic , that carries electricity , phone signals , etc.:"
cafe,noun,a1,Cafe?,a restaurant where simple and usually quite cheap meals are served :
cake,noun,a1,Piece of cake.,"a sweet food made with a mixture of flour , eggs , fat , and sugar :"
call,noun,a1,I'll call you. | Duty calls.,"to give someone or something a name , or to know or address someone by a particular name :"
calm,adjective,b1,Calm down.,"peaceful , quiet , and without worry :"
camera,noun,a1,Cameras. | Camera.,a device for taking photographs or making films or television programmes :
camp,noun,a2,Head back to camp. | It's one of those Yankee prison camps you'd better hope you never end up in.,a place where people stay in tents or other temporary structures :
campaign,noun,b1,"Mr. Mayor, you were elected in a campaign to clean up the city.","a planned group of especially political , business , or military activities that are intended to achieve a particular aim :"
camping,noun,a2,Camping?,the activity of staying in a tent on holiday :
campus,noun,b1,There's a lion on the campus.,the buildings of a college or university and the land that surrounds them:
can,noun,a2,Can I help you? | Cans.,to be able to: | → headphones :
cancel,verb,b2,Cancel it.,"to decide that an organized event will not happen , or to stop an order for goods or services that you no longer want :"
cancer,noun,b2,Cancer.,"a serious disease that is caused when cells in the body grow in a way that is uncontrolled and not normal , killing normal cells and often causing death :"
candidate,noun,b1,"Right now, terrorists are plotting to assassinate a presidential candidate.",a person who is competing to get a job or elected position :
cannot,modal verb,a1,I cannot.,"the negative form of the verb ""can"":"
cap,noun,b1,Cap.,"a soft flat hat that has a curved part sticking out at the front , often worn as part of a uniform"
capable,adjective,b2,He's capable of anything.,"able to do things effectively and skilfully , and to achieve results :"
capacity,noun,b2,In what capacity?,the total amount that can be contained or produced :
capital,noun,a1,Capital!,a city that is the centre of government of a country or smaller political area :
captain,noun,b1,Captain.,the leader of a sports team :
capture,noun,b2,Freed him to run before the relentless pursuit of the police lieutenant obsessed with his capture.,"to take someone as a prisoner , or to take something into your possession , especially by force :"
car,noun,a1,Cars. | Get in the car. | Who cares?,"a road vehicle with an engine , four wheels , and seats for a small number of people : | the process of protecting someone or something and providing what that person or thing needs :"
card,noun,a1,Cards? | Here's my card.,"any of a range of games played with cards, such as poker , whist , and bridge : | a small , rectangular piece of card or plastic , often with your signature , photograph , or other information proving who you are, that allows you to do something, such as make a payment , get money from a bank , or enter a particular place :"
care,noun,a2,I don't care.,the process of protecting someone or something and providing what that person or thing needs :
career,noun,a1,Career?,"the job or series of jobs that you do during your working life , especially if you continue to get better jobs and earn more money :"
careful,adjective,a2,Be careful.,"giving a lot of attention to what you are doing so that you do not have an accident , make a mistake , or damage something:"
carefully,adverb,a2,Listen carefully.,with great attention :
careless,adjective,b1,I was careless.,not taking or showing enough care and attention :
carpet,noun,a2,Carpet.,(a shaped piece of) thick material used for covering floors :
carrot,noun,a1,Carrots. | Carrot?,"a long , pointed root that is usually orange in colour , eaten as a vegetable :"
carry,verb,a1,And kill the one who carries it. | Carry on.,"to hold something or someone with your hands , arms , or on your back and transport it, him, or her from one place to another:"
cartoon,noun,a2,"No, it was a cartoon.","a drawing , especially in a newspaper or magazine , that tells a joke or makes a humorous political criticism"
case,noun,a2,Just in case.,a particular situation or example of something:
cash,noun,a2,Cash.,money in the form of notes and coins :
cast,noun,b2,Cast,"the actors in a film , play , or show:"
castle,noun,a2,Castle.,"a large strong building , built in the past by a ruler or important person to protect the people inside from attack"
cat,noun,a1,Cat got your tongue? | Cats.,"a small animal with fur , four legs , a tail , and claws , usually kept as a pet or for catching mice :"
catch,noun,b2,The early bird catches the worm. | Catch him!,"to take hold of something, especially something that is moving through the air :"
category,noun,b1,Same category.,"(in a system for dividing things according to appearance , quality , etc.) a type , or a group of things having some features that are the same:"
cause,noun,a2,Cause of death?,"the reason why something, especially something bad , happens :"
CD,noun,a1,adjusted and corrected for 1 CD Format,"abbreviation for compact disc : a small plastic disk with a shiny surface on which information , especially high-quality sound , is recorded"
ceiling,noun,b1,Look at the ceiling.,the inside surface of a room that you can see when you look above you
celebrate,verb,a2,Let's celebrate.,to take part in special enjoyable activities in order to show that a particular occasion is important :
