word,count,rank
pray,113004,1569
driver,112986,1570
gay,112917,1571
paying,112841,1572
freedom,112690,1573
comfortable,112682,1574
monster,112653,1575
lately,112427,1576
sunday,112378,1577
chris,112330,1578
manager,112293,1579
ugly,112253,1580
training,112124,1581
restaurant,111911,1582
older,111789,1583
powerful,111779,1584
desk,111612,1585
german,111541,1586
travel,111178,1587
planning,111165,1588
proof,111090,1589
target,111068,1590
nurse,111002,1591
opportunity,110859,1592
soldier,110831,1593
meaning,110764,1594
chinese,110730,1595
loose,110604,1596
gentleman,110587,1597
ghost,110427,1598
letters,110426,1599
aw,110210,1600
lift,110152,1601
draw,110030,1602
credit,110011,1603
ours,109996,1604
jane,109973,1605
coat,109924,1606
lied,109827,1607
plus,109715,1608
jake,109617,1609
career,109557,1610
hurts,109287,1611
name's,109236,1612
view,109225,1613
heat,109204,1614
student,109170,1615
release,109158,1616
medicine,108975,1617
fred,108748,1618
records,108499,1619
defense,108486,1620
lonely,108364,1621
truly,108343,1622
criminal,108097,1623
arrested,108019,1624
ordered,107715,1625
easier,107646,1626
spare,107643,1627
saturday,107619,1628
horrible,107591,1629
grandma,107553,1630
market,107520,1631
excited,107428,1632
suicide,107389,1633
ideas,107280,1634
nowhere,107223,1635
unit,107192,1636
national,106936,1637
andy,106880,1638
split,106862,1639
